Name,lon,lat,day1,day2,day3,day4,day5
Abol Bridge Parking,-68.96213,45.83484,1,1,1,1,1
Abol Pond Crossing,-68.93616,45.83986,1,1,1,1,1
Togue Pond Gatehouse,-68.88999,45.82812,1,1,1,1,1
Roaring Brook Lean-To,-68.85638,45.91921,1,1,1,1,1
Chimney Pond Lean-To,-68.91202,45.91633,0,1,1,1,1
Chimney Pond Bunkhouse,-68.91073,45.916,0,0,1,1,1
Chimney Pond,-68.91176,45.91432,0,1,1,1,1
Base of Waterfall Gully,-68.9132,45.90676,0,0,1,1,1
Base of MP2,-68.90769,45.91458,0,0,0,1,1
Intersection with New Dudley,-68.90651,45.91374,0,0,0,1,1
Basin Ponds Crossing,-68.89492,45.9219,0,1,0,0,1
